WKN,Basiswert,Emittent,Typ,Bid,Ask,K.O.,Hebel,Laufzeit,Basis-preis,Abstand,Abstand in %,Risk/Reward
PC8JL6,Rheinmetall,BNP,Put,1.56,1.57,667.97,3.29,endlos,667.97,150.17000000000007,29.001544998068766,45.64437689969607
GG6NES,Rheinmetall,GS,Put,15.65,15.67,670.97,3.29,endlos,670.97,153.17000000000007,29.580919273850924,46.556231003039535
HD4H90,Rheinmetall,UNCR,Put,15.7,15.72,669.8,3.28,endlos,669.8,152.0,29.35496330629587,46.34146341463415
HS5KM8,Rheinmetall,TUB,Put,15.73,15.77,637.81,3.27,endlos,671.38,153.58000000000004,29.66010042487448,46.96636085626913
PC6WTN,Rheinmetall,BNP,Put,15.74,15.77,669.9,3.27,endlos,669.9,152.10000000000002,29.37427578215528,46.513761467889914
PC8JL7,Rheinmetall,BNP,Put,1.58,1.59,669.97,3.25,endlos,669.97,152.17000000000007,29.38779451525687,46.82153846153848
GG6Q82,Rheinmetall,GS,Put,15.84,15.87,652.54,3.25,endlos,672.84,155.04000000000008,29.9420625724218,47.70461538461541
VD2XPP,Rheinmetall,VON,Put,15.85,15.87,671.51,3.24,endlos,671.51,153.71000000000004,29.685206643491707,47.44135802469137
UM3R8V,Rheinmetall,UBSL,Put,1.59,1.6,670.41,3.23,endlos,670.41,152.61,29.472769409038246,47.247678018575854
HS5MFT,Rheinmetall,TUB,Put,1.59,1.6,673.37,3.23,endlos,673.37,155.57000000000005,30.044418694476644,48.164086687306515
UM3UB9,Rheinmetall,UBSL,Put,15.95,15.98,670.41,3.22,endlos,670.41,152.61,29.472769409038246,47.3944099378882
PC74VL,Rheinmetall,BNP,Put,15.95,15.98,671.95,3.22,endlos,671.95,154.1500000000001,29.7701815372731,47.87267080745344
JK2M2H,Rheinmetall,JPMBV,Put,16.0,16.02,633.9,3.21,endlos,674.38,156.58000000000004,30.239474700656633,48.77881619937696
PC8JL8,Rheinmetall,BNP,Put,1.6,1.61,671.97,3.21,endlos,671.97,154.17000000000007,29.774044032444973,48.02803738317759
JK5N2P,Rheinmetall,JPMBV,Put,16.07,16.09,674.2,3.2,endlos,674.2,156.4000000000001,30.204712244109714,48.87500000000003
JK7PLF,Rheinmetall,JPMBV,Put,1.61,1.62,674.67,3.19,endlos,674.67,156.87,30.2954808806489,49.175548589341695
HD4JBW,Rheinmetall,UNCR,Put,16.2,16.22,674.81,3.17,endlos,674.81,157.01,30.322518346852068,49.52996845425867
DQ176U,Rheinmetall,DZ,Put,16.22,16.26,674.93,3.17,endlos,674.93,157.13,30.345693317883356,49.56782334384858
UM3H0J,Rheinmetall,UBSL,Put,1.62,1.63,674.2,3.17,endlos,674.2,156.4000000000001,30.204712244109714,49.33753943217668
PC8JL9,Rheinmetall,BNP,Put,1.62,1.63,673.97,3.17,endlos,673.97,156.17000000000007,30.160293549633078,49.26498422712936
PC6WTQ,Rheinmetall,BNP,Put,16.28,16.31,674.89,3.16,endlos,674.89,157.09000000000003,30.3379683275396,49.7120253164557
UM3CBX,Rheinmetall,UBSL,Put,16.34,16.37,674.2,3.15,endlos,674.2,156.4000000000001,30.204712244109714,49.65079365079368
VD2S2K,Rheinmetall,VON,Put,0.0,0.0,642.7,3.14,endlos,676.72,158.92000000000007,30.691386635766722,50.61146496815289
DQ1NX4,Rheinmetall,DZ,Put,16.38,16.42,645.93,3.14,endlos,678.16,160.36,30.969486288142146,51.07006369426752
SW8BWD,Rheinmetall,scoge,Put,1.64,1.65,677.58,3.13,endlos,677.58,159.7800000000001,30.85747392815761,51.04792332268374
PC8JMA,Rheinmetall,BNP,Put,1.64,1.65,675.97,3.13,endlos,675.97,158.17000000000007,30.546543066821187,50.53354632587862
VD22XQ,Rheinmetall,VON,Put,16.45,16.47,677.5,3.13,endlos,677.5,159.70000000000005,30.842023947470075,51.02236421725241
UM3VHW,Rheinmetall,UBSL,Put,17.07,17.1,681.63,3.01,endlos,681.63,163.83000000000004,31.63962920046351,54.428571428571445
JK46B1,Rheinmetall,JPMBV,Put,17.07,17.09,643.9,3.01,endlos,685.07,167.2700000000001,32.30397837002706,55.571428571428605
VD2XN8,Rheinmetall,VON,Put,17.1,17.12,650.7,3.01,endlos,685.22,167.42000000000007,32.33294708381616,55.62126245847179
JK7PLH,Rheinmetall,JPMBV,Put,1.71,1.72,684.67,3.0,endlos,684.67,166.87,32.22672846658942,55.623333333333335
PC8JME,Rheinmetall,BNP,Put,1.72,1.73,683.97,2.98,endlos,683.97,166.17000000000007,32.0915411355736,55.761744966442976
PC6XQR,Rheinmetall,BNP,Put,17.24,17.27,684.9,2.98,endlos,684.9,167.10000000000002,32.271147161066054,56.073825503355714
PC8JMF,Rheinmetall,BNP,Put,1.73,1.74,684.97,2.97,endlos,684.97,167.17000000000007,32.284665894167645,56.28619528619531
SW8F3F,Rheinmetall,scoge,Put,1.74,1.75,687.58,2.95,endlos,687.58,169.7800000000001,32.78872151409813,57.55254237288138
DQ12K6,Rheinmetall,DZ,Put,17.5,17.54,656.86,2.94,endlos,689.64,171.84000000000003,33.18655851680186,58.448979591836746
PC7A7L,Rheinmetall,BNP,Put,17.53,17.56,655.42,2.93,endlos,689.91,172.11,33.23870220162225,58.74061433447099
UM3LXF,Rheinmetall,UBSL,Put,17.53,17.56,686.25,2.93,endlos,686.25,168.45000000000005,32.53186558516803,57.49146757679182
JK5RU9,Rheinmetall,JPMBV,Put,17.54,17.56,689.2,2.93,endlos,689.2,171.4000000000001,33.10158362302049,58.49829351535839
UM31F7,Rheinmetall,UBSL,Put,1.75,1.76,686.25,2.93,endlos,686.25,168.45000000000005,32.53186558516803,57.49146757679182
VD3CVD,Rheinmetall,VON,Put,17.55,17.57,688.47,2.93,endlos,688.47,170.67000000000007,32.96060254924683,58.2491467576792
JK5AA8,Rheinmetall,JPMBV,Put,17.6,17.62,648.9,2.92,endlos,690.42,172.62,33.337195828505216,59.11643835616439
JK7PLJ,Rheinmetall,JPMBV,Put,1.76,1.77,689.67,2.92,endlos,689.67,171.87,33.192352259559684,58.859589041095894
PC8H4H,Rheinmetall,BNP,Put,1.76,1.77,655.47,2.92,endlos,689.97,172.17000000000007,33.25028968713791,58.96232876712332
DQ1SG7,Rheinmetall,DZ,Put,17.64,17.68,689.07,2.91,endlos,689.07,171.2700000000001,33.07647740440326,58.85567010309281
MG1YJV,Rheinmetall,MSI,Put,17.68,17.7,649.96,2.91,endlos,691.44,173.6400000000001,33.53418308227117,59.670103092783535
HD4JBY,Rheinmetall,UNCR,Put,17.68,17.7,689.81,2.91,endlos,689.81,172.01,33.219389725762845,59.109965635738824
PC6XQS,Rheinmetall,BNP,Put,17.74,17.77,689.89,2.9,endlos,689.89,172.09000000000003,33.23483970645037,59.34137931034484
UM3UZZ,Rheinmetall,UBSL,Put,1.78,1.79,689.52,2.88,endlos,689.52,171.72000000000003,33.16338354577057,59.625000000000014
PC8JMG,Rheinmetall,BNP,Put,1.78,1.79,689.97,2.88,endlos,689.97,172.17000000000007,33.25028968713791,59.78125000000003
UM3PKK,Rheinmetall,UBSL,Put,17.86,17.89,689.52,2.88,endlos,689.52,171.72000000000003,33.16338354577057,59.625000000000014
VD2ZS4,Rheinmetall,VON,Put,17.94,17.96,658.7,2.87,endlos,693.61,175.81000000000006,33.95326380842025,61.25783972125437
